"","x"
"1","ceh-32"
"2","tbp-1"
"3","ttx-1"
"4","ceh-1"
"5","ceh-27"
"6","mab-5"
"7","vab-3"
"8","ceh-2"
"9","lim-7"
"10","ceh-8"
"11","ces-1"
"12","snai-1"
"13","egrh-3"
"14","Y75B8A.6"
"15","dmd-9"
"16","hlh-11"
"17","hlh-26"
"18","mxl-3"
"19","hlh-30"
"20","nsy-7"
"21","fos-1"
"22","pie-1"
"23","athp-3"
"24","unc-30"
"25","nhr-23"
"26","nhr-91"
"27","lin-1"
"28","fax-1"
"29","lin-14"
"30","maf-1"
"31","fkh-2"
"32","nhr-2"
"33","sox-2"
"34","mab-9"
"35","egl-44"
"36","nhr-8"
"37","elf-1"
"38","ceh-12"
"39","klf-1"
"40","php-3"
"41","ceh-20"
"42","cog-1"
"43","nhr-67"
"44","nhr-14"
"45","ceh-38"
"46","ceh-33"
"47","egrh-2"
"48","pha-4"
"49","elt-1"
"50","skn-1"
"51","unc-3"
"52","elt-2"
"53","mef-2"
"54","mab-3"
"55","snpc-4"
"56","che-1"
"57","hlh-1"
"58","crh-1"
"59","ceh-22"
"60","nob-1"
"61","bed-3"
"62","hlh-12"
"63","Y44A6D.3"
"64","Y48G1C.6"
"65","atf-2"
"66","atf-6"
"67","atf-7"
"68","zip-6"
"69","jun-1"
"70","zip-10"
"71","zip-3"
"72","crh-2"
"73","zip-11"
"74","hpo-39"
"75","die-1"
"76","egl-43"
"77","ham-2"
"78","lin-29"
"79","lin-48"
"80","lsy-2"
"81","mnm-2"
"82","klf-3"
"83","odd-2"
"84","pag-3"
"85","pat-9"
"86","ref-2"
"87","egrh-1"
"88","F10B5.3"
"89","lsy-27"
"90","F52B5.7"
"91","lsl-1"
"92","K11D2.4"
"93","ztf-14"
"94","ztf-27"
"95","T22C8.4"
"96","ztf-6"
"97","sptf-3"
"98","Y53H1A.2"
"99","slr-2"
"100","ztf-29"
"101","ztf-9"
"102","klu-1"
"103","B0310.2"
"104","C46E10.8"
"105","ztf-3"
"106","bcl-11"
"107","ztf-16"
"108","klu-2"
"109","syd-9"
"110","bnc-1"
"111","scrt-1"
"112","ztf-11"
"113","mex-6"
"114","mab-23"
"115","dmd-6"
"116","dmd-4"
"117","dmd-10"
"118","dmd-3"
"119","dmd-5"
"120","dmd-8"
"121","efl-2"
"122","fkh-9"
"123","fkh-6"
"124","egl-18"
"125","end-1"
"126","end-3"
"127","med-1"
"128","ceh-23"
"129","ceh-36"
"130","ceh-37"
"131","ceh-57"
"132","ceh-58"
"133","ceh-90"
"134","eyg-1"
"135","ceh-18"
"136","hsf-1"
"137","madf-4"
"138","unc-120"
"139","daf-12"
"140","nhr-1"
"141","nhr-3"
"142","nhr-7"
"143","nhr-4"
"144","nhr-42"
"145","nhr-46"
"146","nhr-66"
"147","nhr-12"
"148","nhr-104"
"149","nhr-120"
"150","nhr-60"
"151","nhr-44"
"152","nhr-54"
"153","nhr-216"
"154","pax-2"
"155","mbr-1"
"156","pros-1"
"157","daf-19"
"158","egl-13"
"159","gei-3"
"160","pop-1"
"161","tbx-33"
"162","tbx-37"
"163","tbx-43"
"164","fkh-7"
"165","tbx-2"
"166","hlh-25"
"167","lin-54"
"168","lin-28"
"169","nhr-132"
"170","nhr-6"
"171","cfi-1"
"172","ces-2"
"173","zip-8"
"174","unc-4"
"175","eor-1"
"176","ztf-2"
"177","ztf-28"
"178","cey-1"
"179","ceh-48"
"180","daf-16"
"181","ceh-7"
"182","irx-1"
"183","ceh-10"
"184","ceh-16"
"185","ceh-24"
"186","pal-1"
"187","pha-2"
"188","unc-62"
"189","ceh-54"
"190","ceh-9"
"191","unc-86"
"192","madf-5"
"193","madf-9"
"194","nhr-18"
"195","nhr-130"
"196","nhr-10"
"197","nhr-84"
"198","nhr-145"
"199","nhr-36"
"200","nhr-55"
"201","nhr-79"
"202","npax-1"
"203","spe-44"
"204","sem-2"
"205","athp-1"
"206","elt-3"
"207","mdl-1"
"208","blmp-1"
"209","egl-27"
"210","nhr-25"
"211","dpl-1"
"212","egl-5"
"213","hlh-10"
"214","nhr-239"
"215","atf-5"
"216","M03D4.4"
"217","lin-31"
"218","odr-7"
"219","hlh-27"
"220","ceh-74"
"221","zfh-2"
"222","egl-38"
"223","sma-4"
"224","tbx-40"
"225","cdc-5L"
"226","fezf-1"
"227","ref-1"
"228","fkh-10"
"229","pax-1"
"230","efl-3"
"231","dpy-27"
"232","zip-7"
"233","elt-7"
"234","nhr-5"
"235","nhr-65"
"236","tbx-39"
"237","hmg-12"
"238","hlh-28"
"239","efl-1"
"240","hlh-16"
"241","xbp-1"
"242","cebp-1"
"243","atf-8"
"244","lin-15B"
