,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53,cell_54,cell_55,cell_56,cell_57,cell_58,cell_59,cell_60,cell_61,cell_62,cell_63,cell_64,cell_65,cell_66,cell_67,cell_68,cell_69,cell_70,cell_71,cell_72,cell_73,cell_74,cell_75,cell_76,cell_77,cell_78,cell_79,cell_80,cell_81,cell_82,cell_83
K06A4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daf-19,0.0,0.0,0.0,0.0,1.3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7202382,0.0,0.0,0.0,0.0,0.0,0.0,5.2938066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7831669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8508235,2.3185716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sams-1,3.9690416,0.0,0.0,0.0,8.1378,7.949126,0.0,0.0,6.0845757,5.144033,0.0,0.0,0.0,0.0,0.0,2.245677,16.987543,0.0,0.0,0.0,0.0,9.385265,0.0,0.0,7.6804914,10.0948925,34.895313,0.0,0.0,5.724098,0.0,15.471892,6.5832787,0.0,0.0,0.0,0.0,0.0,3.3500838,9.118541,0.0,0.0,0.0,0.0,0.0,0.0,1.3517168,3.582945,0.0,0.0,0.0,2.2461815,4.038772,7.7927136,2.1358395,0.0,6.1868424,4.5242043,0.0,0.0,0.0,0.0,3.2092426,6.365372,5.035247,23.319084,0.0,0.0,0.0,7.6423383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.816794,0.0,0.0,0.0,0.0,0.0
E02A10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.853088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32D1.3,0.0,4.7596383,0.0,0.0,1.3563,0.0,0.0,2.6903417,0.0,5.144033,14.986886,0.0,0.0,3.32668,0.0,2.245677,0.0,1.3672409,0.0,0.0,4.3122034,4.6926327,0.0,0.0,0.0,0.0,9.97009,2.7404768,0.0,17.172295,14.880953,0.0,6.5832787,3.3456004,0.0,0.0,0.0,0.0,1.6750419,0.0,0.0,8.779632,0.0,0.0,1.8508235,0.0,0.0,0.0,0.0,1.136622,4.471272,0.0,6.0581584,3.8963568,2.1358395,5.073567,0.0,3.0161364,4.110152,0.0,0.0,4.149378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9712201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osm-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9712201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lbp-3,57.5511,95.192764,31.678988,33.852406,23.0571,15.898252,44.827587,51.116493,12.169151,34.293552,26.22705,39.94083,48.185028,63.20692,59.701492,49.404896,33.975086,49.220673,62.58053,38.518517,56.058643,23.463163,51.867218,83.48552,0.0,44.417526,9.97009,0.0,52.128586,51.516884,3.7202382,20.62919,65.83279,40.147205,46.04437,3.3255734,29.345072,68.81948,48.576214,63.82979,95.55662,29.265438,53.537285,41.293873,37.01647,53.32715,36.496353,35.829453,37.446503,59.10434,49.183994,71.87781,32.310177,56.497173,12.815037,35.51497,53.619305,30.161364,12.330456,57.91506,38.2263,53.94191,57.76637,70.0191,25.176235,27.205597,18.493612,84.771416,73.20644,42.03286,25.041737,93.20906,53.222942,41.57044,89.50948,68.39277,45.030556,26.698309,53.435116,34.678436,50.818745,33.42246,32.86771,24.497795
wrt-10,49.613018,52.35602,119.67617,37.237644,69.1713,135.13513,82.75862,61.87786,203.83328,106.31002,112.40165,97.63313,89.94539,79.840324,42.288555,110.03817,90.60023,71.09653,73.62415,26.666666,112.11729,89.16002,93.36099,75.65875,130.56836,104.98688,139.58125,115.10003,86.880974,137.37836,197.17262,144.40433,72.41607,110.404816,41.858517,16.627869,5.3354673,26.469032,67.00168,97.26444,9.555662,14.632719,38.240917,49.896767,40.71812,39.415718,35.144634,96.73952,14.265335,1.136622,44.712723,17.969452,40.387722,35.06721,57.667664,10.147134,90.74036,43.73398,135.63501,25.096525,33.12946,62.240665,83.44031,57.28835,110.77543,85.5033,6.72495,9.082652,51.244507,64.95988,50.083473,53.262318,41.395622,11.547344,14.321518,39.081585,48.247025,0.0,68.70229,59.899117,5.6465273,50.13369,41.084637,19.598236
C16B8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
