"","x"
0,F56C9.8
1,cutl-16
2,mlc-1
3,gcy-33
4,zig-7
5,ost-1
6,gcy-34
7,syd-9
8,T19C3.3
9,srsx-30
10,T10G3.1
11,nlp-33
12,cpl-1
13,nmgp-1
14,hlh-1
15,grd-10
16,col-98
17,plin-1
18,tctn-1
19,let-2
20,acsd-1
21,mlc-3
22,cutl-24
23,Y37D8A.16
24,sem-4
25,hil-4
26,tmem-231
27,nlp-29
28,cup-16
29,gst-5
30,cle-1
31,lgc-31
32,col-166
33,maoc-1
34,elt-7
35,hsp-12.3
36,AH9.6
37,F53B3.3
38,abts-1
39,C14B9.2
40,dyf-1
41,C29F5.1
42,set-18
43,deg-1
44,fbxc-20
45,lec-3
46,C25D7.15
47,lev-11
48,cpr-6
49,lips-10
50,gpdh-1
51,Y62F5A.9
52,lntl-1
53,hgo-1
54,Y22D7AL.6
55,C14A11.5
56,cex-2
57,dhs-8
58,F47B10.8
59,cpz-1
60,spp-22
61,ftn-2
62,K02F2.5
63,odr-2
64,R102.2
65,Y102A11A.9
66,C01G5.25
67,tir-1
68,lact-2
69,cnc-3
70,ceh-16
71,F57B1.6
72,ham-1
73,Y52B11A.12
74,ZC443.4
75,dpy-13
76,C34D1.4
77,F41D9.2
78,fkb-4
79,F28E10.1
80,C53D6.8
81,max-1
82,C09F5.1
83,ctg-1
84,fos-1
85,fmi-1
86,spp-13
87,odr-4
88,elo-6
89,F44E5.4
90,ttr-1
91,clec-1
92,ceh-27
93,elf-1
94,cey-3
95,F11D5.1
96,chs-1
97,unc-43
98,cutl-18
99,osm-11
100,osm-5
101,ZK455.5
102,twk-14
103,pes-23
104,asns-2
105,K10D3.6
106,shk-1
107,unc-62
108,unc-58
109,inx-13
110,K10C8.4
111,lron-13
112,hil-5
113,unc-3
114,T13H5.1
115,Y71H2B.1
116,fasn-1
117,tppp-1
118,pghm-1
119,tba-9
120,cutl-17
121,F14B8.5
122,pat-10
123,nphp-4
124,nlp-57
125,hot-4
126,qdpr-1
127,glb-18
128,C30G4.4
129,ttn-1
130,casy-1
131,ptd-2
132,hil-7
133,egl-21
134,sox-4
135,zfh-2
136,aat-6
137,mnp-1
138,F53A9.8
139,F16C3.2
140,rig-6
141,vab-3
142,cpn-1
143,hsp-70
144,F14B8.6
145,F47E1.3
146,mig-6
147,W02D7.8
148,glr-2
149,F32D8.7
150,glna-3
151,fkb-7
152,dos-1
153,F43C9.2
154,C26F1.1
155,pros-1
156,C25G6.1
157,fbxb-74
158,cutl-15
159,shc-2
160,K08F9.3
161,ZK856.5
162,K07E3.4
163,ZK822.1
164,mec-12
165,pqn-48
166,R02E12.4
167,ZK1307.1
168,lon-2
169,C40H1.8
170,T01E8.8
171,icl-1
172,eri-6
173,ift-74
174,F42G8.19
175,F59E11.7
176,nlp-31
177,F54E4.3
178,egl-13
179,B0228.1
180,gpx-5
181,C01H6.3
182,sym-1
183,slt-1
184,tns-1
185,hmit-1.3
186,F08B12.4
187,K07C11.4
188,tbx-2
189,hrg-3
190,ZK287.1
191,rmd-2
192,F09E10.5
193,F46F2.5
194,spi-1
195,C14F11.6
196,F55D12.5
197,dao-2
198,ncam-1
199,pgal-1
200,mig-1
201,mig-18
202,gst-24
203,grd-5
204,C18A11.1
205,unc-83
206,C34E7.4
207,F48D6.4
208,cab-1
209,C50B8.5
210,lin-11
211,T10B5.4
212,F32B5.6
213,daf-10
214,F26E4.3
215,che-13
216,F57F4.4
217,acy-1
218,M153.4
219,far-1
220,unc-42
221,F14D12.1
222,F44A2.3
223,lec-8
224,sodh-1
225,F32A5.4
226,mua-3
227,tyra-2
228,C08G9.1
229,ace-2
230,ocr-3
231,atf-8
232,zig-8
233,ZK643.2
234,cki-2
235,ptb-1
236,Y48C3A.5
237,unc-86
238,unc-24
239,aakg-5
240,lpr-4
241,C13F10.1
242,gst-13
243,T14B1.1
244,grl-10
245,F07C6.4
246,ceh-30
247,mec-7
248,lpr-6
249,gcy-36
250,gst-20
251,sol-1
252,ets-5
253,T03G11.3
254,pde-1
255,fbn-1
256,ceh-31
257,sqt-3
258,pmt-2
259,ZK1067.4
260,C04F12.5
261,strl-1
262,F58H10.1
263,mab-21
264,C50B8.4
265,unc-15
266,F09G8.5
267,ast-1
268,swip-10
269,msa-1
270,nuc-1
271,T04G9.4
272,ceh-8
273,eva-1
274,F14B4.1
275,C26B9.3
276,cka-2
277,catp-3
278,ZC21.3
279,K10D3.4
280,F32H5.3
281,lpr-1
282,Y41G9A.5
283,tsp-7
284,arl-3
285,cla-1
286,nhr-62
287,rhgf-1
288,F39B2.8
289,C31C9.7
290,asp-4
291,pdl-1
292,unc-6
293,lgc-47
294,C53A3.2
295,F16H11.1
296,R02D3.1
297,agr-1
298,Y37D8A.2
299,ace-4
300,enpl-1
301,psa-3
302,bbs-8
303,unc-25
304,dhs-4
305,F58F9.1
306,ceh-37
307,pqn-44
308,R12B2.8
309,lag-1
310,cutl-20
311,pcrg-1
312,nhr-25
313,K06A4.2
314,daf-19
315,lin-2
316,sams-1
317,E02A10.3
318,F32D1.3
319,osm-6
320,lbp-3
321,wrt-10
322,C16B8.2
323,inx-12
324,gcy-31
325,saeg-1
326,D1054.18
327,fbxa-4
328,nhr-270
329,cof-2
330,T19D12.6
331,flp-9
332,D2092.4
333,lin-39
334,C44C1.6
335,tbc-7
336,C17G1.5
337,sym-2
338,cpn-3
