"","x"
"1","ceh-16"
"2","ceh-32"
"3","nhr-23"
"4","nhr-2"
"5","ceh-27"
"6","mab-5"
"7","nob-1"
"8","ceh-36"
"9","lin-1"
"10","eor-1"
"11","elt-2"
"12","irx-1"
"13","pal-1"
"14","nhr-79"
"15","nhr-67"
"16","pha-4"
"17","nhr-25"
"18","dpl-1"
"19","hlh-16"
"20","elt-1"
"21","die-1"
"22","mnm-2"
"23","ref-2"
"24","lsy-27"
"25","B0310.2"
"26","dmd-4"
"27","end-1"
"28","end-3"
"29","tbx-37"
"30","hlh-1"
"31","ref-1"
"32","egl-5"
"33","elt-7"
"34","hlh-26"
