"","x"
"1","eef-1A.1"
"2","nhr-23"
"3","elt-1"
"4","hlh-1"
"5","lin-26"
"6","ceh-43"
"7","pbrm-1"
"8","die-1"
"9","mml-1"
"10","nhr-68"
"11","B0310.2"
"12","dpy-31"
"13","nhr-25"
"14","sma-9"
"15","elt-6"
"16","mep-1"
"17","dpy-7"
"18","tps-2"
"19","lir-2"
"20","elt-7"
"21","hsp-3"
"22","lin-1"
"23","hmg-1.2"
"24","his-72"
"25","nhr-57"
"26","dve-1"
"27","nob-1"
"28","nhr-49"
"29","lin-11"
"30","ama-1"
"31","hmg-11"
"32","isw-1"
"33","F16B12.6"
"34","B0336.3"
"35","ceh-16"
"36","ceh-27"
"37","lin-13"
"38","irx-1"
"39","dpl-1"
"40","mab-5"
"41","lin-39"
