mafbb,aqp1a.1,0.842192779803584,IP5
en1a,aqp1a.1,0.842192779803584,IP5
rorc,aqp1a.1,0.842192779803584,IP5
nfatc2b,aqp1a.1,0.842192779803584,IP5
tbx21,aqp1a.1,0.842192779803584,IP5
phox2a,aqp1a.1,0.842192779803584,IP5
pax1a,aqp1a.1,0.842192779803584,IP5
runx3,aqp1a.1,0.842192779803584,IP5
gfi1ab,aqp1a.1,0.842192779803584,IP5
elf3,aqp1a.1,0.842192779803584,IP5
foxp3a,aqp1a.1,0.842192779803584,IP5
foxi3b,aqp1a.1,0.842192779803584,IP5
nr1d4a,aqp1a.1,0.842192779803584,IP5
foxd3,aqp1a.1,0.842192779803584,IP5
irx1b,aqp1a.1,0.842192779803584,IP5
irx6a,aqp1a.1,0.842192779803584,IP5
jun,aqp1a.1,0.842192779803584,IP5
fosl1a,aqp1a.1,0.842192779803584,IP5
egr1,aqp1a.1,0.842192779803584,IP5
hsf4,aqp1a.1,0.842192779803584,IP5
tbpl2,aqp1a.1,0.842192779803584,IP5
tal2,aqp1a.1,0.842192779803584,IP5
tbpl2,il1b,0.817753138332019,IP5
isl1,il1b,0.817753138332019,IP5
phox2a,il1b,0.817753138332019,IP5
nkx2.5,il1b,0.817753138332019,IP5
en1a,il1b,0.817753138332019,IP5
lhx1a,il1b,0.817753138332019,IP5
irx6a,il1b,0.817753138332019,IP5
nr4a1,il1b,0.817753138332019,IP5
elf3,il1b,0.817753138332019,IP5
foxi3b,il1b,0.817753138332019,IP5
egr1,il1b,0.817753138332019,IP5
tbx21,il1b,0.817753138332019,IP5
msc,il1b,0.817753138332019,IP5
myog,il1b,0.817753138332019,IP5
mafbb,il1b,0.817753138332019,IP5
gbx1,il1b,0.817753138332019,IP5
uncx4.1,il1b,0.817753138332019,IP5
foxd3,il1b,0.817753138332019,IP5
irx1b,il1b,0.817753138332019,IP5
ascl1a,il1b,0.817753138332019,IP5
nfe2,il1b,0.817753138332019,IP5
klf2a,il1b,0.817753138332019,IP5
hsf4,il1b,0.817753138332019,IP5
runx3,il1b,0.817753138332019,IP5
elf3,gp1bb,0.788896744575804,IP5
foxi3b,gp1bb,0.788896744575804,IP5
nr4a1,gp1bb,0.788896744575804,IP5
mafbb,gp1bb,0.788896744575804,IP5
phox2a,gp1bb,0.788896744575804,IP5
en1a,gp1bb,0.788896744575804,IP5
rorc,gp1bb,0.788896744575804,IP5
nfatc2b,gp1bb,0.788896744575804,IP5
tbx21,gp1bb,0.788896744575804,IP5
atoh1a,gp1bb,0.788896744575804,IP5
ascl1a,gp1bb,0.788896744575804,IP5
gfi1ab,gp1bb,0.788896744575804,IP5
