"","x"
"1","aqp1a.1"
"2","il1b"
"3","gp1bb"
"4","admb"
"5","klf2a"
"6","zgc_101699"
"7","cd9b"
"8","uchl1"
"9","ugt1b7"
"10","hspb8"
"11","ostn"
"12","mb"
"13","CR855311.1"
"14","rbp4"
"15","krt15"
"16","TCIM (1 of many)"
"17","cxcl18b"
"18","cxcr4a"
"19","krt94"
"20","btg2"
"21","tpm2"
"22","cxcl8a"
"23","s100a10b"
"24","atp2a2a"
"25","cd74a"
"26","thbs1b"
"27","si_ch211-222l21.1"
"28","aqp8a.1"
"29","acta2"
"30","col1a1b"
"31","podxl"
"32","spock3"
"33","BX120005.1"
"34","akap12b"
"35","junbb"
"36","ier2b"
"37","lpl"
"38","si_ch211-264e16.1"
"39","mon1ba"
"40","pim1"
"41","AL929171.1"
"42","si_busm1-57f23.1"
"43","egr1"
"44","CR759878.1"
"45","rspo1"
"46","CR318588.3"
"47","BX000363.1"
"48","hsp70l"
"49","zgc_162730"
"50","grb10a"
"51","ctgfa"
"52","desma"
"53","marcksl1b"
"54","tpm4a"
"55","hsf4"
"56","gadd45ba"
"57","mcl1a"
"58","sez6b"
"59","nsmfa"
"60","si_ch73-186j5.2"
"61","zgc_158868"
"62","dnajb1b"
"63","elfn1b"
"64","stpg2"
"65","BX005375.1"
"66","tal2"
"67","tnfb"
"68","itga2.2"
"69","ctsd"
"70","mfap5"
"71","igsf5a"
"72","scpp1"
"73","scinlb"
"74","cd7al"
"75","mhc1uba"
"76","igfbp1b"
"77","acyp2"
"78","s1pr4"
"79","si_ch211-214p13.9"
"80","slc8a1a"
"81","zgc_193505"
"82","vcam1b"
"83","myh11a"
"84","serpinh1b"
"85","fip1l1a"
"86","CABZ01044764.2"
"87","nlgn2b"
"88","ldb3a"
"89","tppp"
"90","pdxp"
"91","atp1a3b"
"92","f3b"
"93","lygl1"
"94","cox7a1"
"95","jun"
"96","her9"
"97","lacc1"
"98","hspa5"
"99","blf"
"100","si_ch211-1a19.3"
"101","ypel2a"
"102","junba"
"103","itk"
"104","xk"
"105","zmat4b"
"106","dcn"
"107","adh8a"
"108","BX901962.4"
"109","si_dkey-217l24.1"
"110","f8"
"111","fosl1a"
"112","sparc"
"113","fn1b"
"114","cyp1b1"
"115","asz1"
"116","ctss2.1"
"117","zgc_158343"
"118","cfd"
"119","dennd3b"
"120","fgf7"
"121","col5a1"
"122","c4"
"123","fhl1a"
"124","apln"
"125","tnni4a"
"126","ctsba"
"127","hspbp1"
"128","mt2"
"129","BX897740.1"
"130","BX005058.1"
"131","CR954285.1"
"132","zgc_194275"
